id,method,features,n_types,n_types_used,min_share,balance,silhouette,min_jaccard,mean_jaccard,boundary,uses_knee_valgus,type_names,passes_filter,shortlisted,shortlist_rank
grid:CPD3×KF3,grid,CPD×KF,9,9,0.09259259259259259,0.9977739264040042,0.22524629805235682,0.6938113067488061,0.7663888160605778,軸に平行,False,骨盤が安定×膝の曲がりが浅い（10%） / 骨盤が安定×膝の曲がりふつう（12%） / 骨盤が安定×膝の曲がりが深い（10%） / 骨盤ふつう×膝の曲がりが浅い（11%） / 骨盤ふつう×膝の曲がりふつう（12%） / 骨盤ふつう×膝の曲がりが深い（12%） / 骨盤が落ちる×膝の曲がりが浅い（12%） / 骨盤が落ちる×膝の曲がりふつう（9%） / 骨盤が落ちる×膝の曲がりが深い（12%）,False,False,
grid:CPD2×KF2,grid,CPD×KF,4,4,0.21604938271604937,0.9944328873730067,0.2826579169813371,0.8292657124693176,0.87331254195447,軸に平行,False,骨盤が安定×膝の曲がりが浅い（22%） / 骨盤が安定×膝の曲がりが深い（28%） / 骨盤が落ちる×膝の曲がりが浅い（28%） / 骨盤が落ちる×膝の曲がりが深い（22%）,True,True,1.0
grid:CPD3×KF2,grid,CPD×KF,6,6,0.14814814814814814,0.9979770861593558,0.23717464567652816,0.7173385075854288,0.817840970014372,軸に平行,False,骨盤が安定×膝の曲がりが浅い（15%） / 骨盤が安定×膝の曲がりが深い（17%） / 骨盤ふつう×膝の曲がりが浅い（19%） / 骨盤ふつう×膝の曲がりが深い（15%） / 骨盤が落ちる×膝の曲がりが浅い（16%） / 骨盤が落ちる×膝の曲がりが深い（17%）,True,False,
grid:CPD2×KF3,grid,CPD×KF,6,6,0.13580246913580246,0.9955132032114297,0.2164777176883897,0.7562087024621172,0.8183223521043752,軸に平行,False,骨盤が安定×膝の曲がりが浅い（14%） / 骨盤が安定×膝の曲がりふつう（19%） / 骨盤が安定×膝の曲がりが深い（17%） / 骨盤が落ちる×膝の曲がりが浅い（20%） / 骨盤が落ちる×膝の曲がりふつう（15%） / 骨盤が落ちる×膝の曲がりが深い（16%）,True,False,
grid:CPD3×ALIGN3,grid,CPD×ALIGN,9,9,0.06790123456790123,0.9885170313982248,0.24302318974617626,0.6063200721706914,0.7749123412330351,軸に平行,True,骨盤が安定×膝が内に入る（10%） / 骨盤が安定×脚まっすぐ（8%） / 骨盤が安定×膝が外に開く（14%） / 骨盤ふつう×膝が内に入る（10%） / 骨盤ふつう×脚まっすぐ（12%） / 骨盤ふつう×膝が外に開く（12%） / 骨盤が落ちる×膝が内に入る（13%） / 骨盤が落ちる×脚まっすぐ（14%） / 骨盤が落ちる×膝が外に開く（7%）,False,False,
grid:CPD2×ALIGN2,grid,CPD×ALIGN,4,4,0.16666666666666666,0.9621113916129808,0.3161636633078903,0.8103581554586057,0.8686206124621674,軸に平行,True,骨盤が安定×膝が内に入る（17%） / 骨盤が安定×膝が外に開く（33%） / 骨盤が落ちる×膝が内に入る（33%） / 骨盤が落ちる×膝が外に開く（17%）,True,True,2.0
grid:ALIGN3×KF2,grid,ALIGN×KF,6,6,0.15432098765432098,0.9993615164949563,0.2569030686217269,0.7490572406460142,0.8185760537622299,軸に平行,True,膝が内に入る×膝の曲がりが浅い（15%） / 膝が内に入る×膝の曲がりが深い（17%） / 脚まっすぐ×膝の曲がりが浅い（18%） / 脚まっすぐ×膝の曲がりが深い（16%） / 膝が外に開く×膝の曲がりが浅い（17%） / 膝が外に開く×膝の曲がりが深い（17%）,True,False,
grid:ALIGN3×KF3,grid,ALIGN×KF,9,9,0.08641975308641975,0.9947915702324144,0.23636363295282609,0.657981736400854,0.7747418817422684,軸に平行,True,膝が内に入る×膝の曲がりが浅い（10%） / 膝が内に入る×膝の曲がりふつう（9%） / 膝が内に入る×膝の曲がりが深い（13%） / 脚まっすぐ×膝の曲がりが浅い（14%） / 脚まっすぐ×膝の曲がりふつう（12%） / 脚まっすぐ×膝の曲がりが深い（9%） / 膝が外に開く×膝の曲がりが浅い（9%） / 膝が外に開く×膝の曲がりふつう（12%） / 膝が外に開く×膝の曲がりが深い（12%）,False,False,
grid:ALIGN3,grid,ALIGN,3,3,0.3271604938271605,0.9998959429287465,0.5034262242857894,0.8164392587990169,0.8786644741465243,軸に平行,True,膝が内に入る（33%） / 脚まっすぐ（34%） / 膝が外に開く（33%）,True,True,4.0
grid:CPD3,grid,CPD,3,3,0.32098765432098764,0.9995837003003465,0.4870286420540306,0.8211371855102465,0.8761160349401624,軸に平行,False,骨盤が安定（32%） / 骨盤ふつう（35%） / 骨盤が落ちる（33%）,True,False,
