id,method,features,n_types,n_types_used,min_share,balance,silhouette,min_jaccard,mean_jaccard,boundary,uses_knee_valgus,type_names,passes_filter,shortlisted,shortlist_rank
grid:cadence_103×rearfoot_102,grid,cadence_10×rearfoot_10,6,6,0.14285714285714285,0.9973024039324935,0.4562488107553877,0.8039066005859646,0.8813698088783729,軸に平行,False,ローピッチ×踵以外で接地（16%） / ローピッチ×踵で接地（17%） / ミドルピッチ×踵以外で接地（19%） / ミドルピッチ×踵で接地（14%） / ハイピッチ×踵以外で接地（19%） / ハイピッチ×踵で接地（15%）,True,True,2.0
grid:cadence_102×rearfoot_102,grid,cadence_10×rearfoot_10,4,4,0.22142857142857142,0.9974921912865704,0.5323100375091306,0.9151463901094936,0.9349015481502604,軸に平行,False,ローピッチ×踵以外で接地（26%） / ローピッチ×踵で接地（24%） / ハイピッチ×踵以外で接地（28%） / ハイピッチ×踵で接地（22%）,True,True,1.0
grid:duty_103×rearfoot_102,grid,duty_10×rearfoot_10,6,6,0.11428571428571428,0.989198069664691,0.4537009576735138,0.8240609796251368,0.8792447810562528,軸に平行,False,接地が短め×踵以外で接地（22%） / 接地が短め×踵で接地（11%） / 接地ふつう×踵以外で接地（16%） / 接地ふつう×踵で接地（16%） / 接地が長め×踵以外で接地（15%） / 接地が長め×踵で接地（19%）,True,False,
grid:cadence_103×duty_103,grid,cadence_10×duty_10,9,9,0.07142857142857142,0.9857842285014775,0.15829887219983238,0.7112893883077703,0.790908787558426,軸に平行,False,ローピッチ×接地が短め（14%） / ローピッチ×接地ふつう（12%） / ローピッチ×接地が長め（7%） / ミドルピッチ×接地が短め（11%） / ミドルピッチ×接地ふつう（12%） / ミドルピッチ×接地が長め（10%） / ハイピッチ×接地が短め（9%） / ハイピッチ×接地ふつう（9%） / ハイピッチ×接地が長め（16%）,False,False,
grid:cadence_102×duty_102,grid,cadence_10×duty_10,4,4,0.18571428571428572,0.9758813378174155,0.22219081696040288,0.7919634831918124,0.8727287253777991,軸に平行,False,ローピッチ×接地が短め（31%） / ローピッチ×接地が長め（19%） / ハイピッチ×接地が短め（19%） / ハイピッチ×接地が長め（31%）,True,False,
grid:cadence_103×duty_102,grid,cadence_10×duty_10,6,6,0.12142857142857143,0.9885592562677796,0.17544970637430427,0.7419314652234291,0.8274391653695359,軸に平行,False,ローピッチ×接地が短め（20%） / ローピッチ×接地が長め（14%） / ミドルピッチ×接地が短め（18%） / ミドルピッチ×接地が長め（15%） / ハイピッチ×接地が短め（12%） / ハイピッチ×接地が長め（21%）,True,False,
grid:cadence_102×duty_103,grid,cadence_10×duty_10,6,6,0.09285714285714286,0.9710433285027634,0.20219214571157298,0.6929567952687143,0.8244931451415008,軸に平行,False,ローピッチ×接地が短め（21%） / ローピッチ×接地ふつう（20%） / ローピッチ×接地が長め（9%） / ハイピッチ×接地が短め（13%） / ハイピッチ×接地ふつう（13%） / ハイピッチ×接地が長め（24%）,False,False,
grid:cadence_103,grid,cadence_10,3,3,0.32857142857142857,0.9999534474565877,0.4612509827833851,0.8215125870423907,0.8789477617899552,軸に平行,False,ローピッチ（34%） / ミドルピッチ（33%） / ハイピッチ（34%）,True,True,4.0
kmeans:cadence×duty k=2,kmeans,cadence_10×duty_10,2,2,0.42142857142857143,0.9821130873306577,0.371951775101807,0.9576966431670572,0.9622201244838215,斜め,False,ハイピッチ×接地が長め（42%） / ローピッチ（58%）,False,False,
kmeans:cadence×duty k=3,kmeans,cadence_10×duty_10,3,3,0.20714285714285716,0.9322117210073864,0.3496738188456172,0.6455430733099843,0.6654462107218304,斜め,False,ハイピッチ（21%） / 平均的（51%） / ローピッチ×接地が短め（28%）,True,False,
kmeans:cadence×duty k=4,kmeans,cadence_10×duty_10,4,4,0.16428571428571428,0.9622806671605199,0.374372827919947,0.7618999001497703,0.8066436826602293,斜め,False,ハイピッチ（16%） / ローピッチ（39%） / 接地が短め（21%） / 接地が長め（24%）,True,True,3.0
kmeans:cadence×duty k=5,kmeans,cadence_10×duty_10,5,5,0.12142857142857143,0.9702442521522862,0.3686396269712419,0.5658550296184138,0.7202231494444011,斜め,False,平均的（26%） / 接地が短め（20%） / 接地が長め（14%） / ローピッチ（27%） / ハイピッチ（12%）,False,False,
kmeans:cadence×duty k=6,kmeans,cadence_10×duty_10,6,6,0.08571428571428572,0.950026088423364,0.3854894014571029,0.5045088902923404,0.713090848108211,斜め,False,ハイピッチ×接地が長め（9%） / ローピッチ×接地が短め（16%） / 平均的（26%） / 接地が長め（13%） / ローピッチ（26%） / ハイピッチ×接地が短め（10%）,False,False,
kmeans:cadence×duty k=7,kmeans,cadence_10×duty_10,7,7,0.007142857142857143,0.8874018063934671,0.3886856242993899,0.5638324167735932,0.7668529450907352,斜め,False,ローピッチ（26%） / ハイピッチ×接地が長め（8%） / ハイピッチ×接地が短め（10%） / ローピッチ×接地が短め（16%） / 平均的（26%） / ハイピッチ×接地が長め（1%） / 接地が長め（13%）,False,False,
kmeans:cadence×duty k=8,kmeans,cadence_10×duty_10,8,8,0.007142857142857143,0.8882767804378007,0.3856856031464534,0.555250555250555,0.7292942976163241,斜め,False,接地が長め（13%） / 平均的（25%） / ハイピッチ×接地が長め（9%） / 接地が短め（10%） / ローピッチ（26%） / ハイピッチ×接地が短め（6%） / ハイピッチ×接地が長め（1%） / ローピッチ×接地が短め（11%）,False,False,
gmm:cadence×duty k=2,gmm,cadence_10×duty_10,2,2,0.32142857142857145,0.9059282160429994,0.31422565352934767,0.4374891105565991,0.5469778453257019,斜め,False,平均的（68%） / ハイピッチ×接地が短め（32%）,False,False,
