variant,method,k,n_types_used,silhouette_w,min_size_w,min_jaccard,mean_jaccard,meets_size,meets_stability,selected
A,kmeans,2,2,0.3019280088227936,39.0,0.9622790773869455,0.9633873734250604,True,True,True
A,kmeans,3,3,0.25714507500023737,22.0,0.6638647433694098,0.743300215581235,True,True,False
A,kmeans,4,4,0.22622785899838416,17.0,0.5281968187726437,0.6002352307794246,True,False,False
A,gmm_diag,2,2,0.2974885486264322,38.0,0.9412611446895643,0.9422952513190921,True,True,False
A,gmm_diag,3,3,0.23832115682303873,8.0,0.333957283142875,0.625838462132645,False,False,False
A,rule_q4,4,4,0.09775870871470077,2.0,0.7595951925267717,0.8506314098102656,False,True,False
A,rule_q3,3,3,0.137741836149766,19.0,0.8560577004903487,0.8732114737896358,True,True,False
A,rule_med,4,4,0.14353774083567006,15.0,0.8305378369275088,0.8608254859864688,True,True,False
B,kmeans,2,2,0.26811205812741573,39.5,0.8151733561959189,0.8159023174830558,True,True,True
B,kmeans,3,3,0.24795289310948748,19.0,0.5537700016111042,0.6411151124769813,True,False,False
B,kmeans,4,4,0.249496079534019,13.0,0.6121947422870208,0.6324005183050658,False,True,False
B,gmm_diag,2,2,0.25457355323569886,20.5,0.5152372332768138,0.5993246907184038,True,False,False
B,gmm_diag,3,3,0.2059361670784962,17.0,0.26588144310227607,0.452120737479144,True,False,False
B,rule_q4,4,4,0.145279737144801,2.0,0.7569278149386843,0.8484922199347777,False,True,False
B,rule_q3,3,3,0.18369346125936023,19.0,0.8628772699988139,0.8828615885673923,True,True,False
B,rule_med,4,4,0.1808076249539299,15.0,0.8367786738487345,0.8631937814199429,True,True,False
