variant,analysis,type,metric,est,lo,hi,wilson_lo,wilson_hi,n_person_equiv,n_limbs,injured_person_equiv
A,主な分析,F1,injury_12m,0.28205128205128205,0.14280684104627767,0.4225352112676056,0.16543492088847672,0.4377531948302082,39.0,67.0,11.0
A,主な分析,F2,injury_12m,0.35714285714285715,0.21737820848611838,0.506337552742616,0.22989188315618775,0.5083363428054419,42.0,70.0,15.0
A,主な分析,F1,OR_vs_F2（調整なし）,0.7071428571443259,0.23998589935119172,1.7502831954225209,,,,,
A,主な分析,F1,OR_vs_F2（＋性別・年齢）,0.8907336314747416,0.2567212009691637,2.5600372059023604,,,,,
A,主な分析,F1,OR_vs_F2（＋週の走行距離）,0.8884157714222591,0.24530669018640763,2.7825222799307796,,,,,
B,主な分析,F1,injury_12m,0.34177215189873417,0.19511403230915428,0.49296256994018905,0.21389568103657877,0.4976968601440689,39.5,66.0,13.5
B,主な分析,F2,injury_12m,0.30120481927710846,0.16862449799196785,0.4458087669828248,0.18345095485958787,0.4526436828261917,41.5,71.0,12.500000000000002
B,主な分析,F1,OR_vs_F2（調整なし）,1.2046153846141772,0.49707602339278306,3.1256112689696374,,,,,
B,主な分析,F1,OR_vs_F2（＋性別・年齢）,1.3811566489814842,0.557157759494373,3.7774906155853705,,,,,
B,主な分析,F1,OR_vs_F2（＋週の走行距離）,1.383042181530188,0.5480844426509516,3.9358002371827925,,,,,
