group,angle,label,n_limbs,mean,sd,smd_vs_lk_control
Loh 2025 ケガなし（参加時）,CPD,骨盤の傾き,110,5.437727272727272,2.581515367165009,-0.10370691409225243
Loh 2025 ケガなし（参加時）,HADD,股関節の内転,110,79.54145454545456,4.089881107654289,0.2376795620444045
Loh 2025 ケガなし（参加時）,KF,膝の屈曲,110,40.75699999999999,3.410254565821106,0.39016505701985804
Loh 2025 ケガなし（参加時）,KA,膝の外反,110,1.6130909090909091,6.329369628880108,0.367162391632011
Loh 2025 ケガあり（参加時、ケガの前）,CPD,骨盤の傾き,27,5.161730769230768,2.753370095830814,-0.21981129534847715
Loh 2025 ケガあり（参加時、ケガの前）,HADD,股関節の内転,27,78.29826923076925,3.4324042425995493,-0.06976039184153171
Loh 2025 ケガあり（参加時、ケガの前）,KF,膝の屈曲,27,38.63076923076923,3.8979742667974846,-0.11092912972986385
Loh 2025 ケガあり（参加時、ケガの前）,KA,膝の外反,27,0.24576923076923085,7.240848388456659,0.13291125004171184
Loh & Kong 2026 健常群,CPD,骨盤の傾き,88,5.684253246753246,2.377141159621022,0.0
Loh & Kong 2026 健常群,HADD,股関節の内転,88,78.58035714285715,4.043668687078134,0.0
Loh & Kong 2026 健常群,KF,膝の屈曲,88,39.101461038961034,4.2431758848017385,0.0
Loh & Kong 2026 健常群,KA,膝の外反,88,-0.5300324675324674,5.836990458356435,0.0
Loh & Kong 2026 受傷群（ケガの後）,CPD,骨盤の傾き,202,5.603144380372103,2.2957749172261575,-0.034120340751692714
Loh & Kong 2026 受傷群（ケガの後）,HADD,股関節の内転,202,82.36443259710587,5.076724332476632,0.9358025464205405
Loh & Kong 2026 受傷群（ケガの後）,KF,膝の屈曲,202,37.61541181590686,3.479443669669766,-0.350220981500419
Loh & Kong 2026 受傷群（ケガの後）,KA,膝の外反,202,1.6392666739201394,6.348641048071829,0.3716468541330171
