variant,method,k,n_types_used,silhouette,bic,min_size,min_jaccard,mean_jaccard,meets_size,meets_stability,selected
A,kmeans,2,2,0.371951775101807,,59,0.957283654991859,0.9620104417996028,True,True,True
A,kmeans,3,3,0.3496738188456172,,29,0.65240666320839,0.6726041622594616,True,True,False
A,kmeans,4,4,0.37437282791994697,,23,0.7574683292093151,0.7935283553826298,True,True,False
A,kmeans,5,5,0.368639626971242,,17,0.5331049187954782,0.7046791034079233,False,False,False
A,gmm_full,2,2,0.31422565352934767,815.8060953839871,45,0.41755942445965794,0.5300456604418609,True,False,False
A,gmm_full,3,3,0.34962977464423456,822.8276239141621,1,0.12165145492758864,0.4196460650819153,False,False,False
A,gmm_full,4,4,0.262822896728931,852.768141361605,4,0.19787776445719668,0.45098444743005156,False,False,False
A,gmm_full,5,5,0.2620786177600358,874.8819816262263,18,0.4617170979122446,0.5161755525914138,False,False,False
A,gmm_diag,2,2,0.3603800417136337,815.3259433349461,58,0.7686554160944686,0.7976427679548124,True,True,False
A,gmm_diag,3,3,0.34458800383081345,809.0441155894753,1,0.1287680024499079,0.45948313864824425,False,False,False
A,gmm_diag,4,4,0.10443191641959118,817.8745060851259,1,0.26214429711889986,0.44739388413211684,False,False,False
A,gmm_diag,5,5,0.36258312176482616,867.7520434780038,8,0.37929751926937405,0.5481467331085323,False,False,False
A,rule_2x2,4,4,0.2221908169604029,,26,0.8106959395971871,0.8822553314318218,True,True,False
B,kmeans,2,2,0.20490856745568264,,65,0.9106641834144882,0.9212467980184085,True,True,False
B,kmeans,3,3,0.2477083568378847,,20,0.9187232939495183,0.948421473362273,True,True,True
B,kmeans,4,4,0.2261927511230091,,20,0.5153294111287662,0.7402016154355516,True,False,False
B,kmeans,5,5,0.21439596784631704,,20,0.5379152145072557,0.6659658683424554,True,False,False
B,gmm_full,2,2,0.20490856745568264,742.0367489081298,65,0.7089496843248394,0.7439279363816751,True,True,False
B,gmm_full,3,3,0.2477083568378847,157.13951826663885,20,0.9019119515417086,0.9244576618549823,True,True,False
B,gmm_full,4,4,0.23577532700710307,242.756387264625,4,0.13898788459090697,0.7241171633280332,False,False,False
B,gmm_full,5,5,0.2185889119392707,332.468434657637,2,0.17356044970375617,0.6040121902875908,False,False,False
B,gmm_diag,2,2,0.20490856745568264,621.4753692227312,65,0.7497049921657721,0.778994368453352,True,True,False
B,gmm_diag,3,3,0.2477083568378847,-41.07408423340922,20,0.9162611816802999,0.9447993597807202,True,True,False
B,gmm_diag,4,4,0.22859767985593576,4.057613848684042,4,0.17886870057036774,0.7380961296599099,False,False,False
B,gmm_diag,5,5,0.217247978130165,19.489847009366144,1,0.2842008276887251,0.621225503321765,False,False,False
B,rule_2x2,4,4,0.048488654746958015,,26,0.7966251958797461,0.8746535205946373,True,True,False
C,rule_tertile,3,3,0.4612509827833852,,46,0.8435748524444157,0.8940582154652376,True,True,True
