variant,analysis,type,metric,est,lo,hi,n,events,events_52w,p
A,主な分析,R1,injury_52w,0.8323011534906327,0.7239895310548639,0.915981192506516,81.0,59.0,59.0,
A,主な分析,R2,injury_52w,0.830462283208514,0.7169993634418326,0.9175058230478462,59.0,46.0,46.0,
A,主な分析,R1,injury_weeks_per_100,10.1430417233792,8.041848718180429,12.793239341797705,,,,
A,主な分析,R2,injury_weeks_per_100,8.076888335273836,6.128701951131673,10.644362493176326,,,,
A,主な分析,R2,HR_vs_R1（調整なし）,0.8921921486658745,0.6058358657456,1.313898491568153,,,,0.5635212565897857
A,主な分析,R2,HR_vs_R1（＋性別）,0.8854473736981512,0.5965362930150185,1.314282233569341,,,,0.5460085208283775
A,主な分析,R2,HR_vs_R1（＋ケガ歴）,0.8876975519228307,0.5977863613984336,1.3182083007821725,,,,0.554860903193428
A,主な分析,R2,HR_vs_R1（＋練習量）,0.8643253069710488,0.5798111041465214,1.2884510678184806,,,,0.47412451589473137
B,主な分析,R1,injury_52w,0.6655203619909502,0.43861525586491057,0.8747517634584456,20.0,11.0,11.0,
B,主な分析,R2,injury_52w,0.8764028870537746,0.7636919341299123,0.95168464665003,65.0,51.0,51.0,
B,主な分析,R3,injury_52w,0.8483676046176046,0.7269075508211007,0.9355163605007789,55.0,43.0,43.0,
B,主な分析,R1,injury_weeks_per_100,7.6983530630412,4.551971221153347,13.019555046356327,,,,
B,主な分析,R2,injury_weeks_per_100,9.7773525967352,7.5435928402856245,12.672558795904603,,,,
B,主な分析,R3,injury_weeks_per_100,9.13101086716524,6.898839098506112,12.085418758982795,,,,
B,主な分析,R1,HR_vs_R2（調整なし）,0.5527200928801022,0.2878425317269778,1.0613424612425197,,,,0.07489309800326456
B,主な分析,R3,HR_vs_R2（調整なし）,0.8633088557276658,0.5750009048267453,1.2961756653276575,,,,0.478411991565877
B,主な分析,R1,HR_vs_R2（＋性別）,0.5463632282853982,0.28261553844893583,1.0562504059782216,,,,0.07229572041746192
B,主な分析,R3,HR_vs_R2（＋性別）,0.856496858497005,0.5675890063469005,1.2924613768274489,,,,0.46058072665813055
B,主な分析,R1,HR_vs_R2（＋ケガ歴）,0.5513177996527977,0.28434527043057367,1.0689515452595362,,,,0.07797001740972187
B,主な分析,R3,HR_vs_R2（＋ケガ歴）,0.8627651255226979,0.5706864996361027,1.3043302448767213,,,,0.4839212414073297
B,主な分析,R1,HR_vs_R2（＋練習量）,0.5913460412860883,0.3040881311461999,1.1499631347880641,,,,0.1215770418725411
B,主な分析,R3,HR_vs_R2（＋練習量）,0.8506529203227667,0.5612212778309703,1.2893495301002995,,,,0.44588934926994916
C,主な分析,R1,injury_52w,0.8645704177619072,0.7327935304882105,0.95162653629666,47.0,36.0,36.0,
C,主な分析,R2,injury_52w,0.8340329103278065,0.6933929854849397,0.9346768343396524,46.0,35.0,35.0,
C,主な分析,R3,injury_52w,0.8053292139650088,0.6673565509299764,0.9122260243993705,47.0,34.0,34.0,
C,主な分析,R1,injury_weeks_per_100,11.48131278108903,8.532309632188241,15.44957331129941,,,,
C,主な分析,R2,injury_weeks_per_100,8.069854263677104,5.942774655180597,10.958273132604333,,,,
C,主な分析,R3,injury_weeks_per_100,8.195838834629662,5.966537936591024,11.258082143629546,,,,
C,主な分析,R1,HR_vs_R3（調整なし）,1.2676458324872166,0.7919536643301501,2.0290656246680516,,,,0.32309114722417576
C,主な分析,R2,HR_vs_R3（調整なし）,1.2584779635740648,0.7842613451876981,2.019437518525767,,,,0.34068359898331413
C,主な分析,R1,HR_vs_R3（＋性別）,1.3370685819477774,0.7938817465436658,2.2519127069178797,,,,0.2747744622014834
C,主な分析,R2,HR_vs_R3（＋性別）,1.2730687829101313,0.7915078289893998,2.0476160394895957,,,,0.3194036106458763
C,主な分析,R1,HR_vs_R3（＋ケガ歴）,1.317075354854568,0.7776635099709266,2.230640203794747,,,,0.3055835971704236
C,主な分析,R2,HR_vs_R3（＋ケガ歴）,1.2875099752312846,0.798400782521024,2.0762528953012547,,,,0.2999627663911367
C,主な分析,R1,HR_vs_R3（＋練習量）,1.3348847112627569,0.7774925712637113,2.291876807860406,,,,0.29493338282879666
C,主な分析,R2,HR_vs_R3（＋練習量）,1.199757091164529,0.7354231569165808,1.957263738926357,,,,0.46580965416907283
