model,bin,pred_mean,observed,n_rows
F0 予測なし,予測 0.31,0.3125,0.35294117647058826,1413
F0 予測なし,予測 0.32,0.32307692307692315,0.3125,5437
F1 タイプ（組み合わせA、2タイプ）,低,0.2670041402156132,0.3300653594771242,2300
F1 タイプ（組み合わせA、2タイプ）,中,0.3224294632195573,0.3323353293413174,2250
F1 タイプ（組み合わせA、2タイプ）,高,0.37039701619802917,0.300299177262528,2300
F2 変数そのまま（4つの角度）,低,0.22457784774075323,0.22894838960031044,2300
F2 変数そのまま（4つの角度）,中,0.3093834869133074,0.2838511699271193,2250
F2 変数そのまま（4つの角度）,高,0.4047278437217124,0.4355281207133059,2300
F3 ＋性別・年齢・週の走行距離,低,0.26092659826901254,0.28136739293764085,2300
F3 ＋性別・年齢・週の走行距離,中,0.3164227201464603,0.30216647662485746,2250
F3 ＋性別・年齢・週の走行距離,高,0.3772656981872607,0.3762023512646954,2300
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,低,0.21968262527596308,0.1935739785799286,2300
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,中,0.3020995955360731,0.26260257913247365,2250
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,高,0.4192319251621692,0.4768211920529801,2300
