comparison,metric,diff,lo,hi
F2 変数そのまま（4つの角度） − F1 タイプ（組み合わせA、2タイプ）,auc,0.13222027972027972,-0.019806144941458603,0.26880041541185556
F2 変数そのまま（4つの角度） − F1 タイプ（組み合わせA、2タイプ）,brier,-0.007231874096039037,-0.02450155227329672,0.009846943621194577
F2 変数そのまま（4つの角度） − F0 予測なし,auc,0.14356643356643362,0.020354513600774633,0.26312070001456583
F2 変数そのまま（4つの角度） − F0 予測なし,brier,-0.0027325881739187208,-0.018318805317877055,0.013066496046687234
F1 タイプ（組み合わせA、2タイプ） − F0 予測なし,auc,0.011346153846153895,-0.08017276781519511,0.11322581363824485
F1 タイプ（組み合わせA、2タイプ） − F0 予測なし,brier,0.004499285922120316,-0.0034333231243819525,0.01233736686660352
F3 ＋性別・年齢・週の走行距離 − F2 変数そのまま（4つの角度）,auc,-0.057534965034965135,-0.11757456427633498,-0.008271565097130385
F3 ＋性別・年齢・週の走行距離 − F2 変数そのまま（4つの角度）,brier,0.0056730353300237235,-0.0017899230454972053,0.012605591925450958
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目） − F0 予測なし,auc,0.17776223776223776,0.04774674530041461,0.2954190509200582
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目） − F0 予測なし,brier,-0.007946267035866705,-0.02559413864483224,0.009864179978322764
