model,bin,pred_mean,observed_km,n_rows
R0 予測なし,低,0.8192377531011993,0.9034586555171845,940
R0 予測なし,中,0.8366172952090166,0.8200097921712936,920
R0 予測なし,高,0.851498593285722,0.7746573627294232,940
R1 タイプ（組み合わせB、3タイプ）,低,0.7593186807512362,0.8238628345634629,940
R1 タイプ（組み合わせB、3タイプ）,中,0.8576109984520254,0.898232152439006,920
R1 タイプ（組み合わせB、3タイプ）,高,0.8906192088335568,0.7906733697569318,940
R2 変数そのまま（直線）,低,0.7869282536561683,0.8437363470666701,940
R2 変数そのまま（直線）,中,0.8269359451464176,0.8747925851324728,920
R2 変数そのまま（直線）,高,0.8630610799560616,0.7909589827357175,940
R2b 変数そのまま（曲線）,低,0.7738255224317679,0.8060211010459037,940
R2b 変数そのまま（曲線）,中,0.82896618437204,0.8690708671912721,920
R2b 変数そのまま（曲線）,高,0.8766651695339847,0.8322037547691795,940
R3 ＋ケガ歴,低,0.7778657228112068,0.8440516814287881,940
R3 ＋ケガ歴,中,0.8279874494130353,0.8870850851004314,920
R3 ＋ケガ歴,高,0.8693052258981606,0.780730371841459,940
R4 ＋ケガ歴＋練習量＋性別,低,0.7684609681189004,0.8512365369844046,940
R4 ＋ケガ歴＋練習量＋性別,中,0.8281941302925766,0.8940016845494617,920
R4 ＋ケガ歴＋練習量＋性別,高,0.8791075106453895,0.7740488910894379,940
