comparison,metric,diff,lo,hi
R2 変数そのまま（直線） − R1 タイプ（組み合わせB、3タイプ）,c_index,-0.012902650071013988,-0.05242148884654231,0.019978204593134635
R2 変数そのまま（直線） − R1 タイプ（組み合わせB、3タイプ）,auc_52w,-0.008172728394334361,-0.11673994686483212,0.0772977862387225
R2 変数そのまま（直線） − R1 タイプ（組み合わせB、3タイプ）,brier_52w,0.0012262658927574555,-0.008382385114566808,0.010619129577929314
R2b 変数そのまま（曲線） − R1 タイプ（組み合わせB、3タイプ）,c_index,-0.00018809504650763031,-0.046660989058048184,0.04829557660400843
R2b 変数そのまま（曲線） − R1 タイプ（組み合わせB、3タイプ）,auc_52w,0.04894827681485736,-0.06974306283446262,0.17512177694470757
R2b 変数そのまま（曲線） − R1 タイプ（組み合わせB、3タイプ）,brier_52w,-0.00024624784626423035,-0.009746183400226874,0.008616809081360432
R2 変数そのまま（直線） − R0 予測なし,c_index,0.024151591797326177,-0.037964871623144686,0.07875495395859536
R2 変数そのまま（直線） − R0 予測なし,auc_52w,0.07886644248673758,-0.11294406056897978,0.25316905157307507
R2 変数そのまま（直線） − R0 予測なし,brier_52w,-0.0010276082200730563,-0.006937517205331847,0.004152108374569107
R1 タイプ（組み合わせB、3タイプ） − R0 予測なし,c_index,0.037054241868340165,-0.009318376656970707,0.08335777712663088
R1 タイプ（組み合わせB、3タイプ） − R0 予測なし,auc_52w,0.08703917088107194,-0.08537891276170372,0.25250681061169805
R1 タイプ（組み合わせB、3タイプ） − R0 予測なし,brier_52w,-0.0022538741128305118,-0.01638411107158373,0.011335853966351894
R3 ＋ケガ歴 − R2 変数そのまま（直線）,c_index,-0.023258824139848477,-0.038722088938487775,-0.008415631041185203
R3 ＋ケガ歴 − R2 変数そのまま（直線）,auc_52w,-0.043170128405519814,-0.06891091488977219,-0.02092780012140934
R3 ＋ケガ歴 − R2 変数そのまま（直線）,brier_52w,0.0026264471457763394,0.000465149959568683,0.006085308025675159
R4 ＋ケガ歴＋練習量＋性別 − R2 変数そのまま（直線）,c_index,-0.04063468817607607,-0.07320832339439048,-0.0073424758721685884
R4 ＋ケガ歴＋練習量＋性別 − R2 変数そのまま（直線）,auc_52w,-0.10801790168091963,-0.20391620734731727,-0.030637927457678498
R4 ＋ケガ歴＋練習量＋性別 − R2 変数そのまま（直線）,brier_52w,0.00458118736031754,-0.0017287498091982066,0.010935434016070224
R4 ＋ケガ歴＋練習量＋性別 − R0 予測なし,c_index,-0.016483096378749895,-0.074265594240292,0.03759207001886988
R4 ＋ケガ歴＋練習量＋性別 − R0 予測なし,auc_52w,-0.02915145919418205,-0.24870894561617604,0.16681574689077616
R4 ＋ケガ歴＋練習量＋性別 − R0 予測なし,brier_52w,0.003553579140244484,-0.006924741126305515,0.014169537162547204
