model,metric,est,lo,hi
R0 予測なし,c_index,0.5,0.5,0.5
R0 予測なし,auc_52w,0.5,0.5,0.5
R0 予測なし,brier_52w,0.13576748837165237,0.0932106046233864,0.18590185869166032
R1 タイプ（組み合わせB、3タイプ）,c_index,0.5370542418683402,0.4906816233430293,0.5833577771266308
R1 タイプ（組み合わせB、3タイプ）,auc_52w,0.5870391708810719,0.41462108723829627,0.752506810611698
R1 タイプ（組み合わせB、3タイプ）,brier_52w,0.13351361425882186,0.09264343529909673,0.18159363158701206
R2 変数そのまま（直線）,c_index,0.5241515917973262,0.4620351283768553,0.5787549539585953
R2 変数そのまま（直線）,auc_52w,0.5788664424867376,0.38705593943102024,0.7531690515730751
R2 変数そのまま（直線）,brier_52w,0.1347398801515793,0.09400553243376866,0.1848573576009315
R2b 変数そのまま（曲線）,c_index,0.5368661468218325,0.4776429939968289,0.5868557313646446
R2b 変数そのまま（曲線）,auc_52w,0.6359874476959293,0.44442363169615867,0.7914362233435333
R2b 変数そのまま（曲線）,brier_52w,0.13326736641255763,0.09477920600730799,0.18055663749536813
R3 ＋ケガ歴,c_index,0.5008927676574777,0.4433832172483023,0.5514038256948504
R3 ＋ケガ歴,auc_52w,0.5356963140812178,0.3368850103942054,0.7130033555597038
R3 ＋ケガ歴,brier_52w,0.13736632729735565,0.09649746489737239,0.1867719489821365
R4 ＋ケガ歴＋練習量＋性別,c_index,0.4835169036212501,0.425734405759708,0.5375920700188699
R4 ＋ケガ歴＋練習量＋性別,auc_52w,0.47084854080581795,0.25129105438382393,0.6668157468907762
R4 ＋ケガ歴＋練習量＋性別,brier_52w,0.13932106751189685,0.09841380255425522,0.18895806540401258
