features,split,repeat,fold,auc,n_test
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,0,0.7587563214085034,619
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,1,0.7159062023385867,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,2,0.6860701576004067,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,3,0.7806462887646162,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,4,0.770685053380783,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,5,0.7759278088459582,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,6,0.8212538129130658,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,7,0.7736029020858742,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,8,0.7453482190324294,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,9,0.7361228382900209,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0,pooled,0.7556335440664548,6181
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,0,0.8208309920709247,619
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,1,0.739498601931876,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,2,0.7997585155058464,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,3,0.7589444585663447,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,4,0.7665702846975089,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,5,0.7192266141331978,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,6,0.7770240213523132,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,7,0.7686931231822873,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,8,0.7388591800356507,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,9,0.7604215529912124,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,1,pooled,0.764990744914438,6181
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,0,0.7054067553224699,619
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,1,0.7398481189628876,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,2,0.7731475597356381,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,3,0.7387836807320792,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,4,0.7557988052872395,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,5,0.7771511184544992,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,6,0.774370869344179,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,7,0.7554179566563467,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,8,0.7493667323388685,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,9,0.7625168089564375,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,2,pooled,0.7523505455197432,6181
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,0,0.7510925891240559,619
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,1,0.7810275800711745,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,2,0.7550521098118963,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,3,0.7831564565327911,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,4,0.7726391713268939,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,5,0.7170341891204881,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,6,0.7379575495678699,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,7,0.7208305969915877,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,8,0.7592175626231353,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,9,0.7677705851080463,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,3,pooled,0.7543062031800626,6181
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,0,0.7296934507086221,619
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,1,0.7894795373665481,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,2,0.7006227758007118,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,3,0.7996790798169802,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,4,0.7610733350279613,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,5,0.7180509659379766,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,6,0.8088141840366039,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,7,0.7853613534728086,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,8,0.7706632892391406,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,9,0.6858836038402603,618
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,4,pooled,0.7555830388246421,6181
根拠の強い39項目（class 1）,人ごとに10分割,0,0,0.4934369202226344,534
根拠の強い39項目（class 1）,人ごとに10分割,0,1,0.4415626405757984,566
根拠の強い39項目（class 1）,人ごとに10分割,0,2,0.5258899676375406,704
根拠の強い39項目（class 1）,人ごとに10分割,0,3,0.5129626471089885,490
根拠の強い39項目（class 1）,人ごとに10分割,0,4,0.41206717000781046,547
根拠の強い39項目（class 1）,人ごとに10分割,0,5,0.5333968495934959,679
根拠の強い39項目（class 1）,人ごとに10分割,0,6,0.43031401458070295,614
根拠の強い39項目（class 1）,人ごとに10分割,0,7,0.338927920895134,628
根拠の強い39項目（class 1）,人ごとに10分割,0,8,0.5271595571292081,713
根拠の強い39項目（class 1）,人ごとに10分割,0,9,0.5317274123725737,706
根拠の強い39項目（class 1）,人ごとに10分割,0,pooled,0.46678443857741886,6181
根拠の強い39項目（class 1）,人ごとに10分割,1,0,0.5359508389755667,359
根拠の強い39項目（class 1）,人ごとに10分割,1,1,0.5664570230607966,683
根拠の強い39項目（class 1）,人ごとに10分割,1,2,0.44969763114578115,717
根拠の強い39項目（class 1）,人ごとに10分割,1,3,0.42149464459591046,599
根拠の強い39項目（class 1）,人ごとに10分割,1,4,0.4588050314465409,563
根拠の強い39項目（class 1）,人ごとに10分割,1,5,0.4255308035830874,708
根拠の強い39項目（class 1）,人ごとに10分割,1,6,0.2799374717182936,739
根拠の強い39項目（class 1）,人ごとに10分割,1,7,0.5285099889012208,670
根拠の強い39項目（class 1）,人ごとに10分割,1,8,0.5112039170506912,648
根拠の強い39項目（class 1）,人ごとに10分割,1,9,0.6833859813882012,495
根拠の強い39項目（class 1）,人ごとに10分割,1,pooled,0.45561946573029943,6181
根拠の強い39項目（class 1）,人ごとに10分割,2,0,0.6491118421052632,420
根拠の強い39項目（class 1）,人ごとに10分割,2,1,0.4610329142939006,763
根拠の強い39項目（class 1）,人ごとに10分割,2,2,0.4911262892253676,650
根拠の強い39項目（class 1）,人ごとに10分割,2,3,0.5435483870967741,597
